sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,err_by_shot_35,sex,life_stage,attached,dorsal_image_path,ventral_image_path
T14622,Amblyomma americanum,545,401,144,0.26422018348623855,Haemaphysalis leporispalustris,109,0.31799255633378026,0.5417608061350585,0.6122448979591837,0.41237113402061853,0.3333333333333333,0.125,0.0,0.0,,Nymph,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14622-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14622-02.jpg
311-01,Amblyomma americanum,540,398,142,0.26296296296296295,Haemaphysalis leporispalustris,131,0.2638479380655331,0.464050837098931,0.66,0.4,0.32653061224489793,0.044444444444444446,0.0,0.0,,Nymph,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/311-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/311-01-02.jpg
465-01,Amblyomma americanum,538,398,140,0.26022304832713755,Haemaphysalis longicornis,68,0.25858215927541495,0.3968583439230229,0.6565656565656566,0.3979591836734694,0.30303030303030304,0.06521739130434782,0.0,0.0,Female,Adult,"Yes, 24+ hours",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/465-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/465-01-02.jpg
T9974,Haemaphysalis leporispalustris,442,327,115,0.26018099547511314,Haemaphysalis longicornis,94,0.28041684403698064,0.47607486581740005,0.5102040816326531,0.35789473684210527,0.2765957446808511,0.06493506493506493,0.0,0.0,Female,Adult,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T9974-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T9974-02.jpg
T20310,Amblyomma americanum,528,391,137,0.25946969696969696,Haemaphysalis leporispalustris,111,0.2990999617820389,0.5230828257108842,0.6060606060606061,0.3939393939393939,0.31958762886597936,0.07692307692307693,0.0,0.0,Female,Adult,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T20310-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T20310-02.jpg
513-01,Dermacentor variabilis,579,430,149,0.25734024179620035,Ixodes scapularis,64,0.29914479749933304,0.43263599776058786,0.34,0.42424242424242425,0.40404040404040403,0.1958762886597938,0.13829787234042554,0.011111111111111112,Female,Adult,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/513-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/513-01-02.jpg
363-01,Amblyomma americanum,537,399,138,0.2569832402234637,Haemaphysalis longicornis,68,0.26549557122215534,0.427072673801585,0.696969696969697,0.35353535353535354,0.30526315789473685,0.054945054945054944,0.0,0.0,Male,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/363-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/363-01-02.jpg
355-01,Ixodes scapularis,544,405,139,0.2555147058823529,Amblyomma americanum,116,0.31826661796990996,0.39771929539916967,0.15306122448979592,0.5353535353535354,0.3854166666666667,0.2872340425531915,0.05747126436781609,0.02857142857142857,,Nymph,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/355-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/355-01-02.jpg
307-01,Ixodes scapularis,554,413,141,0.2545126353790614,Amblyomma americanum,84,0.3042004791005046,0.41332478911203574,0.4387755102040816,0.4639175257731959,0.3163265306122449,0.2087912087912088,0.022727272727272728,0.012195121951219513,,Nymph,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/307-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/307-01-02.jpg
T15309,Amblyomma americanum,539,402,137,0.2541743970315399,Haemaphysalis leporispalustris,113,0.3071010571971877,0.5287910521511305,0.58,0.41836734693877553,0.35789473684210527,0.043478260869565216,0.0,0.0,,Nymph,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T15309-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T15309-02.jpg
ZOE-0090-04,Dermacentor variabilis,575,429,146,0.2539130434782609,Haemaphysalis longicornis,83,0.30023474492478897,0.37151157887697983,0.3,0.34,0.35714285714285715,0.20408163265306123,0.20430107526881722,0.09302325581395349,Female,Adult,Yes,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0090-04-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0090-04-02.jpg
ZOE-0014-12,Amblyomma americanum,537,401,136,0.2532588454376164,Haemaphysalis longicornis,69,0.2581717696163593,0.4492061086101627,0.6770833333333334,0.3917525773195876,0.2916666666666667,0.044444444444444446,0.0,0.013157894736842105,Female,Adult,Yes,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0014-12-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0014-12-02.jpg
195-01,Amblyomma americanum,519,388,131,0.2524084778420039,Haemaphysalis longicornis,75,0.2599119430064967,0.43102551002805434,0.7373737373737373,0.3368421052631579,0.22916666666666666,0.043478260869565216,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/195-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/195-01-02.jpg
19-02,Amblyomma americanum,539,403,136,0.2523191094619666,Haemaphysalis leporispalustris,65,0.2961358202828058,0.4919557082744567,0.62,0.422680412371134,0.30927835051546393,0.03296703296703297,0.0,0.0,,Nymph,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/19-02-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/19-02-2.jpg
OPL-0102-03,Haemaphysalis longicornis,451,338,113,0.25055432372505543,Haemaphysalis leporispalustris,63,0.27344738904606236,0.4339455579931413,0.4444444444444444,0.3711340206185567,0.2247191011235955,0.14942528735632185,0.0,0.0,Female,Adult,Yes,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/OPL-0102-03-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/OPL-0102-03-02.jpg
T19576,Haemaphysalis leporispalustris,469,352,117,0.24946695095948826,Amblyomma americanum,70,0.3064243301337343,0.3834903064737959,0.38,0.35051546391752575,0.3333333333333333,0.1625,0.0,0.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19576-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19576-02.jpg
133-02,Dermacentor variabilis,579,435,144,0.24870466321243523,Amblyomma americanum,69,0.3092640190896595,0.42362516764443797,0.29,0.3838383838383838,0.45918367346938777,0.24489795918367346,0.08247422680412371,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/133-02-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/133-02-02.jpg
434-01,Dermacentor variabilis,570,429,141,0.24736842105263157,Haemaphysalis longicornis,70,0.28855002107232525,0.42984209257082023,0.2828282828282828,0.3917525773195876,0.3979591836734694,0.24731182795698925,0.125,0.021052631578947368,Female,Adult,"Yes, 24+ hours",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/434-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/434-01-02.jpg
569-01,Amblyomma americanum,542,408,134,0.24723247232472326,Ixodes scapularis,58,0.2590695111558782,0.44193556456459415,0.6836734693877551,0.36082474226804123,0.25,0.08791208791208792,0.0,0.0,,Nymph,"Yes, 24+ hours",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/569-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/569-01-02.jpg
T6734,Haemaphysalis leporispalustris,452,341,111,0.24557522123893805,Amblyomma americanum,77,0.3321649815919742,0.483210997659349,0.48,0.32608695652173914,0.23863636363636365,0.14634146341463414,0.0,0.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T6734-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T6734-02.jpg
T14660,Amblyomma americanum,538,411,127,0.23605947955390336,Haemaphysalis leporispalustris,102,0.27467503633401913,0.5001340263359952,0.57,0.37373737373737376,0.2857142857142857,0.053763440860215055,0.0,0.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14660-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14660-02.jpg
66-08,Dermacentor variabilis,579,443,136,0.23488773747841105,Haemaphysalis longicornis,112,0.28463391160795515,0.40394265388201483,0.37,0.336734693877551,0.36363636363636365,0.21649484536082475,0.07526881720430108,0.021739130434782608,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/66-08-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/66-08-2.jpg
T9842,Haemaphysalis leporispalustris,439,336,103,0.23462414578587698,Amblyomma americanum,79,0.35380481673868736,0.4773351103104314,0.35051546391752575,0.34065934065934067,0.24175824175824176,0.17721518987341772,0.041666666666666664,0.0,,Larva,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T9842-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T9842-02.jpg
643-01,Ixodes scapularis,552,424,128,0.2318840579710145,Haemaphysalis longicornis,60,0.27374743796810214,0.4458033279520603,0.5050505050505051,0.36082474226804123,0.2857142857142857,0.15053763440860216,0.0,0.012195121951219513,Female,Adult,"Yes, 24+ hours",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/643-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/643-01-02.jpg
T9843,Haemaphysalis leporispalustris,450,346,104,0.2311111111111111,Amblyomma americanum,64,0.3410355603062758,0.4566958201846972,0.39,0.3118279569892473,0.24210526315789474,0.13253012048192772,0.04081632653061224,0.0,,Larva,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T9843-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T9843-02.jpg
T6730,Haemaphysalis leporispalustris,439,339,100,0.22779043280182232,Haemaphysalis longicornis,49,0.2496593525076927,0.47387569754304804,0.55,0.29347826086956524,0.19101123595505617,0.013157894736842105,0.0,0.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T6730-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T6730-02.jpg
T19739,Amblyomma americanum,531,411,120,0.22598870056497175,Haemaphysalis leporispalustris,88,0.30648871736464245,0.4962819033998393,0.5510204081632653,0.30303030303030304,0.29347826086956524,0.09782608695652174,0.0,0.0,Male,Adult,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19739-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19739-02.jpg
