sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,err_by_shot_35,sex,life_stage,attached,dorsal_image_path,ventral_image_path
54-06,Dermacentor variabilis,580,517,63,0.10862068965517241,Haemaphysalis longicornis,50,0.24155881319582354,0.5408250770416568,0.39,0.1414141414141414,0.0707070707070707,0.030927835051546393,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/54-06-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/54-06-2.jpg
54-08,Dermacentor variabilis,572,510,62,0.10839160839160839,Haemaphysalis longicornis,35,0.2454480388793836,0.48799083656641223,0.28,0.1919191919191919,0.10309278350515463,0.05102040816326531,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/54-08-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/54-08-2.jpg
49-03,Ixodes scapularis,554,494,60,0.10830324909747292,Amblyomma americanum,22,0.2814259183511952,0.48645063872614164,0.29,0.25252525252525254,0.042105263157894736,0.02127659574468085,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/49-03-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/49-03-2.jpg
55-02,Ixodes scapularis,545,486,59,0.10825688073394496,Dermacentor variabilis,41,0.23347315462496337,0.5103745616151851,0.40404040404040403,0.16666666666666666,0.030927835051546393,0.0,0.0,0.0,Male,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/55-02-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/55-02-2.jpg
34-02,Dermacentor variabilis,573,511,62,0.1082024432809773,Haemaphysalis longicornis,33,0.2361285302270921,0.5169357489826535,0.29,0.1717171717171717,0.12121212121212122,0.031914893617021274,0.01098901098901099,0.0,Male,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/34-02-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/34-02-2.jpg
ZOE-0014-16,Dermacentor variabilis,574,512,62,0.10801393728222997,Haemaphysalis longicornis,33,0.2271737621749407,0.5179302212270728,0.44,0.13,0.04081632653061224,0.010309278350515464,0.0,0.0,Male,Adult,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0014-16-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0014-16-02.jpg
ZOE-0088-02,Dermacentor variabilis,575,513,62,0.10782608695652174,Haemaphysalis longicornis,35,0.25067993045825937,0.5406343588589587,0.34,0.2,0.06,0.020618556701030927,0.0,0.0,Female,Adult,Yes,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0088-02-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0088-02-02.jpg
ZOE-0079-07,Amblyomma americanum,544,486,58,0.10661764705882353,Haemaphysalis leporispalustris,39,0.21444809453586972,0.5314225108822459,0.47959183673469385,0.10101010101010101,0.010309278350515464,0.0,0.0,0.0,Female,Adult,Yes,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0079-07-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0079-07-02.jpg
65-06,Ixodes scapularis,554,495,59,0.10649819494584838,Dermacentor variabilis,32,0.21531621750428512,0.5984434516715004,0.40404040404040403,0.15306122448979592,0.04040404040404041,0.0,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/65-06-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/65-06-2.jpg
ZOE-0091-02,Dermacentor variabilis,554,495,59,0.10649819494584838,Haemaphysalis longicornis,37,0.24396612923926986,0.4526380196382586,0.3163265306122449,0.1414141414141414,0.11458333333333333,0.031914893617021274,0.0,0.0,Male,Adult,Yes,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0091-02-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0091-02-02.jpg
