sample_id,n_rows,n_incorrect,n_correct,species_true_dominant,mean_conf_overall,incorrect_rate,most_common_pred,n_incorrect_to_most_common,mean_conf_to_most_common,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,true_label_dominant,sex_dominant,life_stage_dominant,attached_dominant,n_images,dorsal_image_path,ventral_image_path
67-02,452,355,97,Amblyomma americanum,0.4815065309462994,0.7853982300884956,Haemaphysalis longicornis,346,0.5181019496643519,0.6428571428571429,0.7171717171717171,0.7731958762886598,0.8850574712643678,0.971830985915493,Amblyomma americanum,Female,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/67-02-1.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/67-02-2.jpg"
56-04,444,352,92,Amblyomma americanum,0.42823455138876676,0.7927927927927928,Haemaphysalis longicornis,336,0.44737740855612895,0.7272727272727273,0.7291666666666666,0.8387096774193549,0.7926829268292683,0.9054054054054054,Amblyomma americanum,Female,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/56-04-1.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/56-04-2.jpg"
234-01,453,352,101,Amblyomma americanum,0.46344397454869296,0.7770419426048565,Haemaphysalis longicornis,320,0.5099704595989203,0.673469387755102,0.6868686868686869,0.7204301075268817,0.896551724137931,0.9605263157894737,Amblyomma americanum,,Nymph,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/234-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/234-01-02.jpg"
110-01,439,347,92,Amblyomma americanum,0.3834528619931666,0.7904328018223234,Haemaphysalis longicornis,288,0.41359340069951855,0.67,0.7340425531914894,0.7894736842105263,0.8470588235294118,0.9846153846153847,Amblyomma americanum,Female,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/110-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/110-01-02.jpg"
57-01,454,346,108,Amblyomma americanum,0.398838481889357,0.762114537444934,Haemaphysalis longicornis,303,0.4257523943464726,0.6464646464646465,0.6989247311827957,0.8,0.7634408602150538,0.9459459459459459,Amblyomma americanum,,Nymph,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/57-01-1.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/57-01-2.jpg"
37-01,461,341,120,Amblyomma americanum,0.4791943356476474,0.7396963123644251,Haemaphysalis longicornis,335,0.515533313199289,0.63,0.6907216494845361,0.6354166666666666,0.8494623655913979,0.9466666666666667,Amblyomma americanum,Female,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/37-01-1.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/37-01-2.jpg"
405-01,457,339,118,Amblyomma americanum,0.39082189756536795,0.7417943107221007,Haemaphysalis longicornis,254,0.40574395484720915,0.75,0.6989247311827957,0.6842105263157895,0.8111111111111111,0.7721518987341772,Amblyomma americanum,,Nymph,"Yes, less than 24 hours",2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/405-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/405-01-02.jpg"
224-01,484,335,149,Dermacentor variabilis,0.3600462047938368,0.6921487603305785,Haemaphysalis longicornis,262,0.38491243544064563,0.21,0.7628865979381443,0.8383838383838383,0.8969072164948454,0.7692307692307693,Dermacentor variabilis,Male,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/224-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/224-01-02.jpg"
ZOE-0097-01,488,335,153,Dermacentor variabilis,0.3981795679024009,0.6864754098360656,Haemaphysalis longicornis,294,0.42480515971703126,0.5454545454545454,0.5918367346938775,0.7,0.7777777777777778,0.8260869565217391,Dermacentor variabilis,Female,Adult,Yes,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/ZOE-0097-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/ZOE-0097-01-02.jpg"
180-02,482,326,156,Dermacentor variabilis,0.3496767222776889,0.6763485477178424,Haemaphysalis longicornis,254,0.3675885880993242,0.26,0.7070707070707071,0.83,0.8842105263157894,0.7159090909090909,Dermacentor variabilis,Female,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/180-02-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/180-02-02.jpg"
