sample_id,species,sex,life_stage,attached,pathogen,pathogen_result,tick_condition,dim1,dim2
T6727,Haemaphysalis leporispalustris,Unknown,Larva,No,None,not_tested,Fed,25.085749,-15.498911
T6728,Haemaphysalis leporispalustris,Unknown,Larva,No,None,not_tested,Engorged,24.224796,-17.625439
T6729,Haemaphysalis leporispalustris,Unknown,Larva,No,None,not_tested,Engorged,25.330822,-16.217485
T6730,Haemaphysalis leporispalustris,Unknown,Larva,No,None,not_tested,Fed,24.569595,-17.50103
T6731,Haemaphysalis leporispalustris,Unknown,Larva,No,None,not_tested,Fed,24.617678,-13.955685
T6732,Haemaphysalis leporispalustris,Unknown,Larva,No,None,not_tested,Fed,27.089937,-16.098692
T6733,Haemaphysalis leporispalustris,Unknown,Larva,No,None,not_tested,Fed,27.533642,-15.639873
T6734,Haemaphysalis leporispalustris,Unknown,Larva,No,None,not_tested,Fed,26.05022,-16.356632
T7843,Dermacentor variabilis,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Fed,17.705608,-0.08523529
T7844,Dermacentor variabilis,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Fed,17.03444,-0.18749125
T7845,Dermacentor variabilis,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Undetermined,18.33926,-0.2528099
T9841,Haemaphysalis leporispalustris,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Unfed,22.889866,-1.2100449
T9842,Haemaphysalis leporispalustris,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Unfed,23.168175,-2.9146073
T9843,Haemaphysalis leporispalustris,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Unfed,23.620213,-2.9908156
T9969,Haemaphysalis leporispalustris,Female,Adult,No,None,not_tested,Unfed,18.322773,-21.356812
T9970,Haemaphysalis leporispalustris,Female,Adult,No,None,not_tested,Unfed,17.687834,-19.903126
T9971,Haemaphysalis leporispalustris,Female,Adult,No,None,not_tested,Unfed,16.946745,-22.0171
T9974,Haemaphysalis leporispalustris,Female,Adult,No,None,not_tested,Unfed,17.450392,-21.878263
T9975,Haemaphysalis leporispalustris,Female,Adult,No,None,not_tested,Unfed,17.37973,-20.905096
T9976,Haemaphysalis leporispalustris,Female,Adult,No,None,not_tested,Unfed,20.873108,-4.234868
T9977,Haemaphysalis leporispalustris,Female,Adult,No,None,not_tested,Unfed,18.117704,-20.011108
T9979,Haemaphysalis leporispalustris,Female,Adult,No,None,not_tested,Unfed,18.469687,-21.126947
T9980,Haemaphysalis leporispalustris,Female,Adult,No,None,not_tested,Unfed,18.780603,-5.752139
ZOE-0013-02,Amblyomma americanum,Male,Adult,No,None,negative,Engorged,11.195681,-23.773258
ZOE-0013-04,Ixodes scapularis,Female,Adult,No,None,negative,Fed,7.938893,35.374763
ZOE-0013-09,Ixodes scapularis,Male,Adult,Yes,None,negative,Fed,4.0234265,35.895855
ZOE-0013-10,Ixodes scapularis,Female,Adult,Yes,None,negative,Unfed,8.911286,34.678593
ZOE-0013-11,Ixodes scapularis,Female,Adult,Yes,None,negative,Unfed,9.202869,34.712296
ZOE-0014-01,Amblyomma americanum,Male,Adult,Yes,Rickettsia amblyommatis,Positive,Unfed,9.904613,-22.481127
ZOE-0014-02,Amblyomma americanum,Female,Adult,Yes,Rickettsia amblyommatis,Positive,Unfed,10.122403,-20.63696
ZOE-0014-03,Amblyomma americanum,Unknown,Nymph,Yes,Rickettsia amblyommatis,Positive,Unfed,10.233164,-25.339457
ZOE-0014-04,Ixodes scapularis,Male,Adult,No,None,negative,Unfed,4.4539304,35.862583
ZOE-0014-05,Amblyomma americanum,Male,Adult,Yes,Rickettsia amblyommatis,Positive,Unfed,11.525864,-22.661753
